丆	⿱一丿	ヘツ	p:丿	2	
专	⿱⿻一𠀁丶	セン もっぱ.ら	v:專	4	
业	⿱⿻⿰丨丨丷一	ホク きた	u	5	
丛	⿱从一	ソウ ス くさむら むら.がる	v:叢	5	
东	⿻⿻一𠃋小	トウ ひがし	v:東	5	
丝	⿱⿰？？一	シ いと	v:絲	5	
丠	⿱北一	キュウ ク ハ	u	6	
丢	⿱㇒去	チュウ	u	6	
严	⿱亚丿	ゲン ゴン おごそ.か きび.しい	v:嚴	7	
丧	⿱⿻土丷⿰𠄌⿺乀丿	ソウ も	v:喪	8	
丳	⿻吕⿰丿丨	サン セン	u	8	
临	⿲丨丨⿱⿱𠂉丶𫩏	リン のぞ.む	v:臨	9	⿸𰀢𫩏 ⿰〢⿱⿱𠂉丶𫩏
丷	⿰丶㇒			2	
为	⿽⿵力丶丶	イ なす	u	4	
丽	⿱一⿰⿵冂丶⿵冂丶	レイ	u	7	
举	⿱兴𰀁	キョ あ.げる あ.がる こぞ.る	v:舉	9	⿱兴⿻二丨
乆	⿰𠂈乀	キュウ ひさしい	u	3	
义	⿶乂丶	ギ よい	u	3	
乊	⿱㇒丷			3	
乌	㇯鸟丶	ウ オ からす いずくんぞ	v:烏	4	
乐	⿻⿱㇒𠃋小	ガク ラク ゴウ たの.しい	v:樂	5	
乒	⿱丘㇒	ヘイ	u	6	
乓	⿱丘丶	ホウ	u	6	
乔	⿱夭⿰丿丨	キョウ たか.い	v:喬	6	
乛				1	
习	⿹𠃌冫	シュウ ジュ なら.う なら.い	v:習	3	
乡		キョウ さと	v:鄉	3	
乤	⿱下乙	カ ゲ	p:下	4	
乥	⿱乊乙			4	
书	⿺⿻⿱𠃍𠃌丨丶	ショ か.く -が.き -がき	v:書	4	
乧	⿱斗乙	ト トウ	p:斗	5	
乪	⿺乙田	ドウ ノウ	u	6	
乫	⿱加乙	ドウ ノウ	u	6	
乬	⿱巨乙	キョ	p:巨	6	
乭	⿱石乙	セキ シャク	p:石	6	
乮	⿱卯乙	ボウ モウ	p:卯	6	
乯	⿱乎乙	コ オ	p:乎	6	
买	⿱乛头	バイ か.う	v:買	6	
乲	⿱次乙	ジ シ	p:次	7	
乶	⿱甫乙	ホ フ	p:甫	8	
乷	⿱沙乙	サ シャ	p:沙	8	
乸	⿺也母	ボ	p:母	8	
乺	⿱所乙	ショ	p:所	9	
乻	⿱於乙	オ ヨ	p:於	9	
乼	⿱注乙	チュウ	p:注	9	
乽	⿱者乙	シャ	p:者	10	
亁	⿰⿱十旱乞	ケン	u	12	
亃	⿰粦乚	リン	u	13	
亄	⿰壹乚	イ	u	13	
亇	⿱⿰㇒乛亅			3	⿱𠂉丨
亏	⿱一丂	ウ ここに	u	3	
亐	⿱一𠀁	ウ ここに	u	3	
亓	⿱一丌	キ	u	4	
亚	⿱一业	ア つ.ぐ	v:亞	6	
亣	⿱丶丌	タイ	u	4	
产	⿳亠丷厂	サン セン うむ うまれる	v:產	6	
亩	⿱亠田	ボウ ホ モ ム	v:畝	7	
亪	⿱亦乁	イ	p:乁	7	
亱	⿱亠但	ヤ	u	9	
亲	⿱立木	シン ヨウ	u	9	⿱立朩
亴	⿳⿳亠口冖土九	ギュウ グ	u	12	
亵	⿳亠执𧘇	セツ けが.れる な.れる	v:褻	12	
亷	⿸产⿻⿱⺕八⿰丨丨	レン	u	13	
亸	⿰享单	タ	v:嚲	16	⿰亨单
亽	⿱𠆢丶	チュ	p:丶	3	⿱人丶
亾	⿺𠃊人	ボウ ない	u	3	
亿	⿰亻乙	オク	v:億	3	
仅	⿰亻又	フ	u	4	
仉	⿰亻几	ショウ	u	4	
仌	⿱人人	ヒョウ	u	4	
仑	⿱𠆢匕	リン ロン おも.う	v:侖	4	⿱人匕
仒	⿱𠆢⺀			4	⿱𠆢冫 ⿱人⺀
仓	⿱𠆢㔾	ソウ くら	v:倉	4	⿱人㔾
仜	⿰亻工	コウ グ	u	5	
仝	⿱𠆢工	ドウ おなじ くりかえし	u	5	⿱人工
仦	⿰亻小	ショウ	p:小	5	
仧	⿱上𠆢	チョウ	u	5	⿱上人
仩	⿰亻上	ジョウ ショウ	p:上	5	
仪	⿰亻义	ギ	v:儀	5	
们	⿰亻门	モン ともがら	v:們	5	
仴	⿰亻月	ガツ ガチ	u	6	
仸	⿰亻夭	ヨウ	u	6	
仹	⿰亻丰	フウ	u	6	
仺	⿱𠆢𰀄	ソウ	u	5	⿱𠆢𬼖 ⿱人⿷匚一
仼	⿰亻王	ゴウ キョウ コウ あわただしい	u	6	
伄	⿰亻弔	チョウ	u	6	
伅	⿰亻屯	トン ドン	u	6	
伆	⿰亻勿	ブン モン ブツ モチ	u	6	
伇	⿰亻殳	エキ ヤク	u	6	
伓	⿰亻不	ハイ ヘ ヒ	u	6	
伔	⿰亻冗	チン ジン	u	6	
优	⿰亻尤	ウ ユウ	u	6	
伛	⿰亻区	ウ	u	6	
伞	⿱𠆢⿻丷十	サン かさ	v:傘	6	⿱人⿻丷十
伟	⿰亻韦	イ えら.い	v:偉	6	
传	⿰亻专	テン デン つた.わる つた.える	v:傳	6	
伡	⿰亻车	くるま	v:俥	6	⿰人车
伢	⿰亻牙	ガ ゲ	p:牙	6	
伣	⿰亻见	ケン たと.える うかが.う	v:俔	6	
伤	⿰亻𱐩	ショウ きず いた.む いた.める	v:傷	6	⿰亻⿱𠂉力
伥	⿰亻长	チョウ トウ ジョウ くる.う	v:倀	6	
伦	⿰亻仑	リン	v:倫	6	
伧	⿰亻仓	ショウ ソウ いや.しい	v:傖	6	
伨	⿰亻匀	ジュン	u	6	
伩	⿰亻文	ブン モン	p:文	6	
伪	⿰亻为	ギ カ いつわ.る にせ	v:偽	6	
伫	⿰亻㝉	チョ たたず.む	v:佇	6	
伬	⿰亻尺	シャク セキ	p:尺	6	
伭	⿰亻玄	ケン	u	7	
伲	⿰亻尼	ジ	u	7	
伿	⿰亻只	シ イ	u	7	
佁	⿰亻台	アイ イ チ シ	u	7	
佄	⿰亻甘	カン	u	7	
佅	⿰亻未	バイ メ バツ マチ	u	7	
佊	⿰亻皮	ヒ	u	7	
佡	⿰亻仚	ケン	u	7	
佢	⿰亻巨	キョ	u	6	
佥	⿳⿵𠆢一𭕄一	セン みな	v:僉	7	⿱亼⿱𭕄一
佦	⿰亻石	セキ シャク	p:石	7	
佧	⿰亻卡	サ カ	p:卡	7	
佨	⿰亻包	ホウ	u	7	
佫	⿰亻各	カク キャク	u	8	
佭	⿰亻夅	コウ ゴウ	u	8	
佲	⿰亻名	メイ	u	8	
佴	⿰亻耳	ジ ニ ダイ ナイ	u	8	
