亜	⿳一⿻口⿰丨丨一	8	1509	ア	つ.ぐ	や つぎ つぐ	アク	u	7	
唖	⿰口亜	0	0	ア アク	おし				10	
娃	⿰女圭	9	0	ア アイ ワ	うつく.しい	い	エ	u	9	
阿	⿰阝可	9	1126	ア オ	おもね.る くま	ほとり あず あわ おか きた な	アク アチ オク	u	8	
哀	⿳亠口𧘇	8	1715	アイ	あわ.れ あわ.れむ かな.しい				9	⿴衣口
愛	⿱⿱爫冖𢖻	4	640	アイ	いと.しい かな.しい め.でる お.しむ	あ あし え かな なる めぐ			13	
挨	⿰扌矣	8	2258	アイ	ひら.く				10	
姶	⿰女合	0	0	オウ アイ	あい				9	
逢	⿺辶夆	9	2116	ホウ	あ.う むか.える	あい おう	ブ	u	10	
葵	⿱艹癸	9	2122	キ	あおい	まもる け	ギ	u	12	
茜	⿱艹西	9	2422	セン	あかね				9	
穐	⿰禾亀	0	0	シュウ	あき とき				16	
悪	⿱亜心	3	530	アク オ	わる.い わる- あ.し にく.い		コ ああ いずくに いずくにかいずくんぞ	u	11	
握	⿰扌屋	8	1003	アク	にぎ.る		オク オウ オ にぎり	u	12	
渥	⿰氵屋	9	2257	アク	あつ.い うるお.う	あつし	オ オク オウ	u	12	
旭	⿺九日	9	1417	キョク	あさひ	あきら あき てる ひ	ケン コウ カン キュウ	u	6	
葦	⿱艹韋	9	2343	イ	あし よし しお.れる しな.びる				13	
芦	⿱艹戸	9	1733	ロ	あし よし	あ			7	⿱艹戶 ⿱艹户
鯵	⿰魚参	0	0	ソウ	あじ				19	
梓	⿰木辛	9	2301	シ	あずさ				11	
圧	⿸厂土	5	718	アツ エン オウ	お.す へ.す おさ.える お.さえる		ジョウ	u	5	
斡	⿰𠦝⿱人斗	9	0	アツ カン ワツ	めぐ.る めぐ.らす				14	⿰𠦝⿱𠆢斗
扱	⿰扌及	8	1057	ソウ キュウ	あつか.い あつか.う あつか.る こ.く		シュウ ショウ コウ ギュウ	u	6	
宛	⿱宀夗	8	0	エン	あ.てる -あて -づつ あたか.も		ウツ オン ウチ ずつ	u	8	
姐	⿰女且	0	0	ソ シャ	あね ねえさん		シ ショ セ あねご	u	8	
虻	⿰虫亡	0	0	ボウ	あぶ				9	
飴	⿰飠台	0	0	イ シ	あめ やしな.う		ジ	u	13	
絢	⿰糸旬	9	2315	ケン		じゅん あや	シュン	u	12	
綾	⿰糸夌	9	1759	リン	あや	りょう			14	
鮎	⿰魚占	9	2201	デン ネン	あゆ なまず	あい			16	
或	⿹戈⿱口一	9	2378	ワク コク イキ	あ.る あるい あるいは		ヨク	u	8	
粟	⿱覀米	9	2146	ゾク ショク ソク	あわ もみ	あ さっ そう			12	
袷	⿰衤合	0	0	コウ キョウ	あわせ				11	
安	⿱宀女	3	144	アン	やす.い やす.まる やす やす.らか	あ あす あず あっ や	いずくに いずくにか いずくんぞ やすんじる	u	6	
庵	⿸广奄	9	2119	アン	いおり いお	あ い いほり	オウ	u	11	
按	⿰扌安	9	0	アン	おさ.える しら.べる		アツ アチ	u	9	
暗	⿰日音	3	1040	アン	くら.い くら.む くれ.る		オン やみ	u	13	
案	⿱安木	4	206	アン	つくえ		あんず	u	10	
闇	⿵門音	8	1969	アン オン	やみ くら.い		イン	u	17	
