丆	⿱一丿
专	⿱⿻一𠀁丶
业	⿱⿻⿰丨丨丷一
丛	⿱从一
东	⿻⿻一𠃋小
丝	⿱⿰？？一
丠	⿱北一
丢	⿱㇒去
严	⿱亚丿
丧	⿱⿻土丷？
丳	⿻吕⿰丿丨
临	⿲丨丨⿱⿱𠂉丶𫩏
丷	⿰丶㇒
为	⿽⿵力丶丶
丽	⿱一⿰⿵冂丶⿵冂丶
举	⿱兴𰀁
乆	
义	⿶乂丶
乊	⿱㇒丷
乌	㇯鸟丶
乐	⿻⿱㇒𠃋小
乒	⿱丘㇒
乓	⿱丘丶
乔	⿱夭⿰丿丨
乛	
习	⿹𠃌冫
乡	
乤	⿱下乙
乥	⿱乊乙
书	⿺⿻⿱𠃍𠃌丨丶
乧	⿱斗乙
乪	⿺乙田
乫	⿱加乙
乬	⿱巨乙
乭	⿱石乙
乮	⿱卯乙
乯	⿱乎乙
买	⿱乛头
乲	⿱次乙
乶	⿱甫乙
乷	⿱沙乙
乸	⿺也母
乺	⿱所乙
乻	⿱於乙
乼	⿱注乙
乽	⿱者乙
亁	⿰⿱十旱乞
亃	⿰粦乚
亄	⿰壹乚
亇	⿱⿰㇒乛亅
亏	⿱一丂
亐	⿱一𠀁
亓	⿱一丌
亚	⿱一业
亣	⿱丶丌
产	⿳亠丷厂
亩	⿱亠田
亪	⿱亦乁
亱	⿱亠但
亲	⿱立木
亴	⿳⿳亠口冖土九
亵	⿳亠执𧘇
亷	⿸产⿻⿱⺕八⿰丨丨
亸	⿰享单
亽	⿱𠆢丶
亾	⿺𠃊人
亿	⿰亻乙
仅	⿰亻又
仉	⿰亻几
仌	⿱人人
仑	⿱𠆢匕
仒	⿱𠆢⺀
仓	⿱𠆢㔾
仜	⿰亻工
仝	⿱𠆢工
仦	⿰亻小
仧	⿱上𠆢
仩	⿰亻上
仪	⿰亻义
们	⿰亻门
仴	⿰亻月
仸	⿰亻夭
仹	⿰亻丰
仺	⿱𠆢𰀄
仼	⿰亻王
伄	⿰亻弔
伅	⿰亻屯
伆	⿰亻勿
伇	⿰亻殳
伓	⿰亻不
伔	⿰亻冗
优	⿰亻尤
伛	⿰亻区
伞	⿱𠆢⿻丷十
伟	⿰亻韦
传	⿰亻专
伡	⿰亻车
伢	⿰亻牙
伣	⿰亻见
伤	⿰亻𱐩
伥	⿰亻长
伦	⿰亻仑
伧	⿰亻仓
伨	⿰亻匀
伩	⿰亻文
伪	⿰亻为
伫	⿰亻㝉
伬	⿰亻尺
伭	⿰亻玄
伲	⿰亻尼
伿	⿰亻只
佁	⿰亻台
佄	⿰亻甘
佅	⿰亻未
佊	⿰亻皮
佡	⿰亻仚
佢	⿰亻巨
佥	⿳⿵𠆢一𭕄一
佦	⿰亻石
佧	⿰亻卡
佨	⿰亻包
佫	⿰亻各
佭	⿰亻夅
佲	⿰亻名
佴	⿰亻耳
侀	⿰亻刑
侇	⿰亻夷
侕	⿰亻而
侜	⿰亻舟
侢	⿰亻再
侣	⿰亻吕
侤	⿰亻考
侥	⿰亻尧
侦	⿰亻贞
侧	⿰亻则
侨	⿰亻乔
侩	⿰亻会
侪	⿰亻齐
侬	⿰亻农
侰	⿰亻君
侱	⿰亻呈
侳	⿰亻坐
侴	⿱⿵𠆢一⿰丑刂
侸	⿰亻豆
侺	⿰亻岑
俇	⿰亻狂
俓	⿰亻巠
俕	⿰亻宋
俖	⿰亻否
俙	⿰亻希
俞	⿱⿵𠆢一⿰⺝刂
俧	⿰亻志
俨	⿰亻严
俩	⿰亻两
俪	⿰亻丽
俫	⿰亻来
俬	⿰亻私
俭	⿰亻佥
俴	⿰亻戔
俷	⿰亻肥
俹	⿰亻亞
俻	⿰亻备
倃	⿰亻咎
倈	⿰亻來
倕	⿰亻垂
倠	⿰亻隹
倯	⿰亻松
倱	⿰亻昆
倴	⿰亻奔
倷	⿰亻奈
倸	⿰亻采
债	⿰亻责
值	⿰亻直
倽	⿰亻舍
倾	⿰亻顷
倿	⿰亻妾
偄	⿰亻耎
偋	⿰亻屏
偍	⿰亻是
偔	⿰亻咢
偘	⿰亻品
偛	⿰亻臿
偝	⿰亻背
偞	⿰亻枼
偡	⿰亻甚
偤	⿰亻酋
偨	⿰亻柴
偩	⿰亻負
偫	⿰亻待
偮	⿰亻咠
偯	⿰亻哀
偳	⿰亻耑
偷	⿰亻俞
